,Unnamed: 0,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
438,438,3003,健和興          ,106000,23000,83000,0,0,0,0,0,0,16945,0,55,-55,17000,0,17000,99945
439,439,00861,元大全球未來通訊,4000,0,4000,0,0,0,0,0,0,95327,0,0,0,350327,255000,95327,99327
440,440,1721,三晃            ,153000,54000,99000,0,0,0,0,0,0,0,0,0,0,0,0,0,99000
441,441,2413,環科            ,137000,38000,99000,0,0,0,0,0,0,0,0,0,0,0,0,0,99000
442,442,2607,榮運            ,231000,128000,103000,0,0,0,0,11000,-11000,7000,8000,0,8000,0,1000,-1000,99000
443,443,1436,華友聯          ,115000,18000,97000,0,0,0,0,0,0,1000,1000,0,1000,0,0,0,98000
444,444,00901,永豐智能車供應鏈,63000,54000,9000,0,0,0,0,0,0,88685,67000,0,67000,923367,901682,21685,97685
445,445,1720,生達            ,141000,47000,94000,0,0,0,0,1000,-1000,4000,0,0,0,4000,0,4000,97000
446,446,2401,凌陽            ,612000,529000,83000,0,0,0,0,0,0,13968,9000,4433,4567,11000,1599,9401,96968
447,447,6206,飛捷            ,150000,61000,89000,0,0,0,0,0,0,7000,7000,0,7000,0,0,0,96000
448,448,3311,閎暉            ,137000,41000,96000,0,0,0,0,0,0,-452,25,477,-452,0,0,0,95548
449,449,4906,正文            ,1411000,1288000,123000,0,0,0,0,5183,-5183,-22729,4000,51416,-47416,26000,1313,24687,95088
450,450,4566,時碩工業        ,119000,23000,96000,0,0,0,0,0,0,-1000,0,1000,-1000,0,0,0,95000
451,451,1736,喬山            ,158000,58000,100000,0,0,0,0,0,0,-5107,0,4107,-4107,0,1000,-1000,94893
452,452,2637,慧洋-KY         ,1061047,708000,353047,0,0,0,0,316000,-316000,57540,12328,1751,10577,72772,25809,46963,94587
453,453,2739,寒舍            ,132000,50000,82000,0,0,0,0,0,0,12000,12000,0,12000,0,0,0,94000
454,454,9906,欣巴巴          ,115000,21000,94000,0,0,0,0,0,0,0,0,0,0,0,0,0,94000
455,455,1903,士紙            ,223000,136000,87000,0,0,0,0,0,0,6459,1459,1000,459,6000,0,6000,93459
456,456,6176,瑞儀            ,2826000,2070000,756000,0,0,0,2000,565162,-563162,-100409,60000,86000,-26000,33000,107409,-74409,92429
457,457,4540,全球傳動        ,221000,130000,91000,0,0,0,0,0,0,0,0,0,0,0,0,0,91000
458,458,4137,麗豐-KY         ,172000,98000,74000,0,0,0,0,0,0,16262,6000,0,6000,10262,0,10262,90262
459,459,3046,建碁            ,123000,33000,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,90000
460,460,4414,如興            ,102000,14000,88000,0,0,0,0,0,0,0,0,0,0,0,0,0,88000
461,461,1517,利奇            ,108000,16000,92000,0,0,0,0,0,0,-4507,0,4507,-4507,0,0,0,87493
462,462,2462,良得電          ,144000,42000,102000,0,0,0,0,0,0,-18000,2000,20000,-18000,0,0,0,84000
463,463,9802,鈺齊-KY         ,71000,33000,38000,0,0,0,0,0,0,45452,1000,632,368,45484,400,45084,83452
464,464,1533,車王電          ,104000,21000,83000,0,0,0,0,0,0,0,0,0,0,0,0,0,83000
465,465,1432,大魯閣          ,127000,22000,105000,0,0,0,0,0,0,-22000,0,22000,-22000,0,0,0,83000
466,466,1324,地球            ,124000,40000,84000,0,0,0,0,0,0,-2000,0,2000,-2000,0,0,0,82000
467,467,1752,南光            ,119000,37000,82000,0,0,0,0,0,0,0,0,0,0,0,0,0,82000
468,468,2015,豐興            ,131000,51000,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,80000
469,469,2022,聚亨            ,465000,624000,-159000,0,0,0,0,0,0,239000,247000,8000,239000,0,0,0,80000
470,470,3557,嘉威            ,85000,5000,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,80000
471,471,1339,昭輝            ,104000,21000,83000,0,0,0,0,0,0,-4301,0,4301,-4301,0,0,0,78699
472,472,1301,台塑            ,3470821,3892920,-422099,0,0,0,0,74819,-74819,575482,327000,16000,311000,330482,66000,264482,78564
473,473,4588,玖鼎電力        ,85000,7000,78000,0,0,0,0,0,0,0,0,0,0,0,0,0,78000
474,474,6805,富世達          ,168000,75000,93000,0,0,0,2000,29000,-27000,11000,15000,4000,11000,0,0,0,77000
475,475,1453,大將            ,103000,28000,75000,0,0,0,0,0,0,2000,2000,0,2000,0,0,0,77000
476,476,1449,佳和            ,167000,37000,130000,0,0,0,0,0,0,-54000,4000,58000,-54000,0,0,0,76000
477,477,6830,汎銓            ,84000,9000,75000,0,0,0,0,0,0,1000,1000,0,1000,0,0,0,76000
478,478,1434,福懋            ,263000,182000,81000,0,0,0,0,1000,-1000,-4000,0,0,0,0,4000,-4000,76000
479,479,2342,茂矽            ,174000,99000,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,75000
480,480,00714,群益道瓊美國地產,0,0,0,0,0,0,0,0,0,74199,0,0,0,274999,200800,74199,74199
481,481,4104,佳醫            ,89000,28000,61000,0,0,0,0,0,0,12718,13000,282,12718,0,0,0,73718
482,482,3583,辛耘            ,2707000,2793050,-86050,0,0,0,2000,31000,-29000,188292,83172,41607,41565,229675,82948,146727,73242
483,483,6285,啟碁            ,1069830,865000,204830,0,0,0,69000,138000,-69000,-63193,58807,67000,-8193,45000,100000,-55000,72637
484,484,6165,浪凡            ,188000,116000,72000,0,0,0,0,0,0,0,0,0,0,0,0,0,72000
485,485,6141,柏承            ,116000,43000,73000,0,0,0,0,0,0,-1000,0,1000,-1000,0,0,0,72000
486,486,6901,鑽石投資        ,190000,112000,78000,0,0,0,0,0,0,-6255,0,6000,-6000,0,255,-255,71745
487,487,4766,南寶            ,162000,91000,71000,0,0,0,0,1000,-1000,1622,0,0,0,4000,2378,1622,71622
488,488,4989,榮科            ,105000,33000,72000,0,0,0,0,0,0,-1000,0,1000,-1000,0,0,0,71000
489,489,1707,葡萄王          ,103000,38000,65000,0,0,0,0,0,0,6000,6000,0,6000,0,0,0,71000
490,490,2545,皇翔            ,71000,47000,24000,0,0,0,0,0,0,46000,46000,0,46000,0,0,0,70000
491,491,5706,鳳凰            ,94000,25300,68700,0,0,0,0,0,0,0,0,0,0,0,0,0,68700
492,492,2707,晶華            ,75000,7000,68000,0,0,0,0,1206,-1206,1072,4072,3000,1072,0,0,0,67866
493,493,2608,嘉里大榮        ,75000,8000,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,67000
494,494,1713,國化            ,91000,20000,71000,0,0,0,0,0,0,-4000,0,4000,-4000,0,0,0,67000
495,495,2722,夏都            ,113000,46000,67000,0,0,0,0,0,0,-319,0,319,-319,0,0,0,66681
496,496,3515,華擎            ,173039,78000,95039,0,0,0,0,31000,-31000,1940,0,2000,-2000,7192,3252,3940,65979
497,497,2450,神腦            ,70000,5000,65000,0,0,0,0,0,0,830,1000,170,830,0,0,0,65830
498,498,3048,益登            ,114000,48000,66000,0,0,0,0,0,0,-320,2000,2320,-320,0,0,0,65680
499,499,6591,動力-KY         ,153000,91000,62000,0,0,0,0,0,0,3480,3480,0,3480,0,0,0,65480
500,500,4771,望隼            ,42000,45000,-3000,0,0,0,0,0,0,68000,68000,0,68000,0,0,0,65000
501,501,2329,華泰            ,1535000,1520000,15000,0,0,0,0,0,0,49292,33392,9184,24208,69084,44000,25084,64292
502,502,9943,好樂迪          ,77000,15000,62000,0,0,0,0,0,0,384,1000,616,384,0,0,0,62384
503,503,2461,光群雷          ,264000,218000,46000,0,0,0,0,0,0,16000,16000,0,16000,0,0,0,62000
504,504,3454,晶睿            ,76000,13000,63000,0,0,0,0,0,0,-1071,0,1071,-1071,1000,1000,0,61929
505,505,1519,華城            ,189000,130018,58982,0,0,0,0,9000,-9000,11600,18000,12000,6000,22600,17000,5600,61582
506,506,1108,幸福            ,164000,105000,59000,0,0,0,0,0,0,2000,2000,0,2000,0,0,0,61000
507,507,1310,台苯            ,127000,72000,55000,0,0,0,0,0,0,5727,6000,273,5727,0,0,0,60727
508,508,9924,福興            ,99000,63000,36000,0,0,0,0,0,0,24000,24000,0,24000,0,0,0,60000
509,509,2509,全坤建          ,69000,10000,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,59000
510,510,5284,jpp-KY          ,551000,487000,64000,0,0,0,0,0,0,-6489,9000,15489,-6489,0,0,0,57511
511,511,4763,材料-KY         ,322020,300972,21048,0,0,0,0,1336,-1336,37708,16000,7000,9000,36082,7374,28708,57420
512,512,1783,和康生          ,70000,13000,57000,0,0,0,0,0,0,32,37,5,32,0,0,0,57032
513,513,2852,第一保          ,126000,70000,56000,0,0,0,0,0,0,1000,1000,0,1000,0,0,0,57000
514,514,2816,旺旺保          ,205000,159000,46000,0,0,0,0,0,0,10945,11001,56,10945,0,0,0,56945
515,515,2443,昶虹            ,57000,1000,56000,0,0,0,0,0,0,0,0,0,0,0,0,0,56000
516,516,9917,中保科          ,155008,97000,58008,0,0,0,0,1000,-1000,-1929,6000,0,6000,74,8003,-7929,55079
517,517,3308,聯德            ,107000,53000,54000,0,0,0,0,0,0,1000,1000,0,1000,0,0,0,55000
518,518,6456,GIS-KY          ,522000,477000,45000,0,0,0,0,0,0,9981,0,19,-19,12000,2000,10000,54981
519,519,00739,元大MSCI A股    ,6000,15000,-9000,0,0,0,0,0,0,63516,0,0,0,65181,1665,63516,54516
520,520,4536,拓凱            ,66000,19000,47000,0,0,0,0,0,0,7000,20000,0,20000,0,13000,-13000,54000
521,521,2929,淘帝-KY         ,62000,9000,53000,0,0,0,0,0,0,0,0,0,0,0,0,0,53000
522,522,1737,臺鹽            ,61000,8000,53000,0,0,0,0,0,0,0,0,0,0,0,0,0,53000
523,523,00710B,復華彭博非投等債,5000,2000,3000,0,0,0,0,0,0,49103,0,0,0,160000,110897,49103,52103
524,524,4956,光鋐            ,533000,477000,56000,0,0,0,0,0,0,-4000,0,4000,-4000,0,0,0,52000
525,525,1731,美吾華          ,116000,65000,51000,0,0,0,0,0,0,1000,1000,0,1000,0,0,0,52000
526,526,0055,元大MSCI金融    ,69000,17000,52000,0,0,0,0,0,0,-412,0,0,0,5999,6411,-412,51588
527,527,1540,喬福            ,93000,42000,51000,0,0,0,0,0,0,0,0,0,0,0,0,0,51000
528,528,3002,歐格            ,102000,54000,48000,0,0,0,0,0,0,3000,4000,1000,3000,0,0,0,51000
529,529,4746,台耀            ,541000,659000,-118000,0,0,0,34000,0,34000,134538,0,0,0,134539,1,134538,50538
530,530,00876,元大全球5G      ,19000,26000,-7000,0,0,0,0,0,0,56318,0,0,0,82000,25682,56318,49318
531,531,6226,光鼎            ,70000,20000,50000,0,0,0,0,0,0,-1000,0,1000,-1000,0,0,0,49000
532,532,9103,美德醫療-DR     ,49000,0,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,49000
533,533,1598,岱宇            ,64000,16000,48000,0,0,0,0,0,0,4,4,0,4,0,0,0,48004
534,534,6201,亞弘電          ,73000,11000,62000,0,0,0,0,0,0,-14825,175,15000,-14825,0,0,0,47175
535,535,2332,友訊            ,257000,195000,62000,0,0,0,0,0,0,-15000,30000,0,30000,0,45000,-45000,47000
536,536,6756,威鋒電子        ,136000,63000,73000,0,0,0,0,0,0,-26014,3,170,-167,0,25847,-25847,46986
537,537,8081,致新            ,154000,103000,51000,0,0,0,1000,4000,-3000,-1544,1000,2544,-1544,0,0,0,46456
538,538,3419,譁裕            ,69000,23000,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,46000
539,539,2059,川湖            ,143500,151008,-7508,0,0,0,0,9000,-9000,61995,73000,6000,67000,9265,14270,-5005,45487
540,540,1528,恩德            ,178000,133000,45000,0,0,0,0,0,0,-783,1000,1783,-783,0,0,0,44217
541,541,1417,嘉裕            ,81000,37000,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,44000
542,542,2701,萬企            ,51000,7000,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,44000
543,543,3305,昇貿            ,252000,199000,53000,0,0,0,0,1000,-1000,-8039,0,0,0,12000,20039,-8039,43961
544,544,4119,旭富            ,57000,14000,43000,0,0,0,0,0,0,323,1000,677,323,0,0,0,43323
545,545,00920,富邦ESG綠色電力 ,0,28000,-28000,0,0,0,0,0,0,71204,0,0,0,74204,3000,71204,43204
546,546,1617,榮星            ,140000,97000,43000,0,0,0,0,0,0,0,1000,1000,0,0,0,0,43000
547,547,9941,裕融            ,202020,156000,46020,0,0,0,0,404,-404,-2668,3000,5668,-2668,0,0,0,42948
548,548,6796,晉弘            ,67000,24000,43000,0,0,0,0,0,0,-1000,0,1000,-1000,0,0,0,42000
549,549,020030,統一智慧電動車N ,0,0,0,0,0,0,0,0,0,42000,0,0,0,47000,5000,42000,42000
550,550,00647L,元大S&P500正2   ,0,1000,-1000,0,0,0,0,0,0,43000,0,0,0,93000,50000,43000,42000
551,551,3416,融程電          ,158000,124000,34000,0,0,0,0,0,0,7995,37000,0,37000,0,29005,-29005,41995
552,552,4720,德淵            ,152000,110000,42000,0,0,0,0,0,0,-1000,2000,3000,-1000,0,0,0,41000
553,553,2482,連宇            ,95000,54000,41000,0,0,0,0,0,0,0,0,0,0,0,0,0,41000
554,554,00875,國泰網路資安    ,0,0,0,0,0,0,0,0,0,40712,0,0,0,45712,5000,40712,40712
555,555,3406,玉晶光          ,849100,780000,69100,0,0,0,0,54000,-54000,25171,114441,60663,53778,24372,52979,-28607,40271
556,556,6706,惠特            ,108000,68000,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,40000
557,557,020028,元大特選電動車N ,0,0,0,0,0,0,0,0,0,40000,0,0,0,40000,0,40000,40000
558,558,6214,精誠            ,48006,52000,-3994,0,0,0,0,2391,-2391,45301,18301,0,18301,29000,2000,27000,38916
559,559,3592,瑞鼎            ,201000,163185,37815,0,0,0,0,0,0,1000,0,4000,-4000,5000,0,5000,38815
560,560,2375,凱美            ,335000,293000,42000,0,0,0,0,0,0,-3779,1006,3785,-2779,0,1000,-1000,38221
561,561,1446,宏和            ,40000,2000,38000,0,0,0,0,0,0,158,158,0,158,0,0,0,38158
562,562,6168,宏齊            ,362000,324000,38000,0,0,0,0,0,0,0,0,0,0,0,0,0,38000
563,563,3035,智原            ,1303899,1365000,-61101,0,0,0,79000,2000,77000,21967,120082,98829,21253,63301,62587,714,37866
564,564,3296,勝德            ,76000,39000,37000,0,0,0,0,1000,-1000,1000,1000,0,1000,0,0,0,37000
